clean_symbol,token,lotsize,tick_size
MUNJALAU,13511,1,1.000000
ANANTRAJ,13620,1,5.000000
TALBROAUTO,13648,1,1.000000
PARSVNATH,13791,1,1.000000
MANALIPETC,13796,1,1.000000
SUTLEJTEX,13801,1,1.000000
DONEAR,13839,1,1.000000
BANCOINDIA,13880,1,5.000000
HIRECT,13890,1,5.000000
JASH,13982,1,5.000000
SBGLP,14139,1,1.000000
HBS500INAV,14239,1,1.000000
TFL,14319,1,1.000000
HSCL,14334,1,5.000000
RAJTV,14403,1,1.000000
HLVLTD,1448,1,1.000000
BIRLANU,1455,1,10.000000
061NSETEST,14762,1,5.000000
CIEINDIA,14937,1,5.000000
PSUBANK,15061,1,1.000000
KOLTEPATIL,15124,1,5.000000
HITECHCORP,15161,1,1.000000
KIRLPNU,15180,1,10.000000
INDIANHUME,1530,1,5.000000
PDMJEPAPER,15377,1,1.000000
MANKIND,15380,1,10.000000
RVHL,1565,1,1.000000
ATALREAL,15649,1,1.000000
FAIRCHEMOR,1614,1,5.000000
LINDEINDIA,1627,1,50.000000
EBBETF0430,16253,1,1.000000
ANDHRAPAP,166,1,1.000000
KIRIINDUS,16639,1,5.000000
DIGISPICE,16683,1,1.000000
GOKUL,16705,1,1.000000
JBCHEPHARM,1726,1,10.000000
ALBERTDAVD,17256,1,5.000000
PREMEXPLN,17397,1,5.000000
LIQUID,17572,1,1.000000
MOLDTECH,17625,1,1.000000
MIDSELIETF,17702,1,1.000000
LTM,17818,1,10.000000
DLINKINDIA,17851,1,5.000000
MMTC,17957,1,1.000000
EMMBI,18142,1,1.000000
TEXMOPIPES,18214,1,1.000000
MANINFRA,18226,1,1.000000
IVZINGOLD,18292,1,5.000000
KANORICHEM,1835,1,1.000000
KARURVYSYA,1838,1,5.000000
NIM150INAV,18353,1,1.000000
BIGBLOC,18431,1,1.000000
TVVISION,18504,1,1.000000
KIRLOSBROS,18581,1,10.000000
EMSLIMITED,18593,1,5.000000
KALAMANDIR,18755,1,1.000000
PNBHOUSING,18908,1,5.000000
CUMMINSIND,1901,1,10.000000
NBIFIN,19111,1,10.000000
SFL,19184,1,5.000000
EMAMIREAL,19277,1,1.000000
ITDC,19299,1,5.000000
PRAKASHSTL,19599,1,1.000000
ALPHAETF,19640,1,1.000000
AMNPLST,19867,1,1.000000
LIBERTSHOE,1994,1,1.000000
DMART,19913,1,10.000000
RAMKY,20134,1,5.000000
IREDA,20261,1,1.000000
INDIASHLTR,20556,1,5.000000
SURAJEST,20822,1,1.000000
DOLPHIN,18139,1,5.000000
KAMATHOTEL,1826,1,1.000000
SPAL,18252,1,5.000000
NDGL,18371,1,10.000000
RRKABEL,18566,1,10.000000
NUVAMA,18721,1,10.000000
SJVN,18883,1,1.000000
RAJRATAN,18962,1,5.000000
PODDARMENT,19036,1,1.000000
KIOCL,19126,1,5.000000
HISARMETAL,19322,1,1.000000
AHLEAST,19438,1,1.000000
BAJAJCON,19531,1,5.000000
PRICOLLTD,19631,1,5.000000
ITETF,19633,1,1.000000
GOLDIETF,19679,1,1.000000
ASHOKA,20182,1,1.000000
TATATECH,20293,1,5.000000
BBNPPGOLD,20547,1,5.000000
JINDWORLD,20642,1,1.000000
HAPPYFORGE,20854,1,10.000000
PSPPROJECT,20877,1,5.000000
EBBE32INAV,10019,1,1.000000
MAM150INAV,10110,1,1.000000
AARON,1030,1,1.000000
SYNGENE,10243,1,5.000000
SHAREINDIA,104,1,1.000000
AXISBNKETF,1044,1,1.000000
RAMRAT,10485,1,5.000000
SADBHIN,10618,1,1.000000
MOMENTUM,10693,1,1.000000
INDIAMART,10726,1,10.000000
OAL,10768,1,1.000000
GENESYS,10905,1,1.000000
NATHBIOGEN,11065,1,1.000000
GTECJAINX,1129,1,1.000000
TVTODAY,11275,1,1.000000
SIL,11297,1,1.000000
AFFLE,11343,1,10.000000
DATAMATICS,11423,1,5.000000
NDTV,11427,1,1.000000
SPANDANA,11435,1,1.000000
GLFL,1156,1,1.000000
HDFCLOWVOL,11547,1,1.000000
SUPRAJIT,11689,1,5.000000
JINDALPHOT,11743,1,5.000000
WELCORP,11821,1,5.000000
NH,11840,1,10.000000
SWELECTES,11909,1,5.000000
MSPL,11919,1,1.000000
ICIL,11987,1,1.000000
RENUKA,12026,1,1.000000
CASTROLIND,1250,1,1.000000
FINIETF,12578,1,1.000000
OSIAHYPER,12635,1,1.000000
N1NSETEST,12848,1,5.000000
SILVER1,13082,1,1.000000
VIMTALABS,13101,1,5.000000
GALAXYSURF,1315,1,10.000000
GSEC10IETF,13143,1,1.000000
CELEBRITY,13162,1,1.000000
NITINSPIN,13175,1,5.000000
SULA,13218,1,1.000000
MARINE,1328,1,1.000000
HCL-INSYS,1327,1,1.000000
M&MFIN,13285,1,5.000000
SOLARINDS,13332,1,100.000000
HEG,1336,1,5.000000
RSYSTEMS,13414,1,1.000000
EMKAY,13421,1,1.000000
MANUGRAPH,13572,1,1.000000
RADIANTCMS,13580,1,1.000000
IRCTC,13611,1,5.000000
CREST,13900,1,5.000000
HBLENGINE,13966,1,5.000000
HINDPETRO,1406,1,5.000000
PTL,14101,1,1.000000
BTML,14150,1,1.000000
HDFCSML250,14233,1,1.000000
INDIANB,14309,1,5.000000
ORIENTALTL,14346,1,1.000000
SANOFI,1442,1,10.000000
ASTRAL,14418,1,10.000000
LAOPALA,14423,1,1.000000
DIVGIITTS,14479,1,5.000000
WEBELSOLAR,14602,1,1.000000
TGBHOTELS,14607,1,1.000000
HILTON,14627,1,1.000000
051NSETEST,14758,1,5.000000
111NSETEST,14774,1,5.000000
131NSETEST,14778,1,5.000000
SHIVAMILLS,1497,1,1.000000
INDOWIND,14952,1,1.000000
CENTUM,14982,1,10.000000
MAANALU,15017,1,1.000000
BVCL,15073,1,1.000000
ASTERDM,1508,1,5.000000
RGL,15129,1,1.000000
INDIACEM,1515,1,5.000000
UJJIVANSFB,15228,1,1.000000
AMBIKCO,15234,1,10.000000
KNRCON,15283,1,1.000000
BANG,15303,1,1.000000
SEPC,15308,1,1.000000
NMDC,15332,1,1.000000
RAIN,15337,1,1.000000
SHALPAINTS,15342,1,1.000000
RECLTD,15355,1,5.000000
EIHAHOTELS,15399,1,5.000000
GILLETTE,1576,1,50.000000
TARC,1581,1,1.000000
HINDWAREAP,15883,1,1.000000
APOLLOTYRE,163,1,5.000000
SUNDROP,1663,1,5.000000
GHCLTEXTIL,16696,1,1.000000
LOTUSEYE,16807,1,1.000000
KOKUYOCMLN,16827,1,1.000000
COUNCODOS,16986,1,1.000000
NEXT50,17181,1,1.000000
ITADD,17207,1,1.000000
BLS,17279,1,1.000000
NHPC,17400,1,1.000000
CONTROLPR,17477,1,5.000000
PSUBANKADD,17616,1,1.000000
KANPRPLA,1782,1,1.000000
NESTLEIND,17963,1,10.000000
ARENTERP,181,1,1.000000
HNGSNGBEES,18284,1,1.000000
PERSISTENT,18365,1,10.000000
GNA,18571,1,5.000000
YATRA,18760,1,1.000000
MAZDA,18866,1,1.000000
AARVI,19073,1,1.000000
KOPRAN,1919,1,1.000000
TCIEXP,19223,1,5.000000
AARTISURF,19233,1,5.000000
KSB,1949,1,5.000000
TRENT,1964,1,10.000000
GPPL,19731,1,1.000000
ESAFSFB,19878,1,1.000000
KILITCH,19937,1,1.000000
AKSHARCHEM,20178,1,1.000000
SHAH,20296,1,1.000000
RESPONIND,20323,1,1.000000
APCL,20453,1,1.000000
PRUDMOULI,20527,1,1.000000
DOLLAR,20560,1,1.000000
ASHIMASYN,206,1,1.000000
MUTHOOTMF,20831,1,1.000000
PSB,21001,1,1.000000
STARCEMENT,21091,1,1.000000
SALASAR,21362,1,1.000000
GANGESSECU,21399,1,1.000000
SIS,21501,1,5.000000
LIQUIDCASE,21750,1,1.000000
BANKBETF,21986,1,1.000000
ACC,22,1,10.000000
MIRCELECTR,2202,1,1.000000
MAXHEALTH,22377,1,5.000000
JSFB,22663,1,5.000000
VSTL,22730,1,1.000000
MUKKA,22980,1,1.000000
JNKINDIA,23621,1,1.000000
GODIGIT,23799,1,5.000000
ABSLPSE,23806,1,1.000000
AWFIS,23864,1,1.000000
MID150CASE,24077,1,1.000000
RELAXO,24225,1,1.000000
OILCOUNTUB,2472,1,1.000000
CEIGALL,24742,1,5.000000
SSDL,24856,1,1.000000
METALIETF,24861,1,1.000000
MFML,24937,1,1.000000
ADANIENT,25,1,10.000000
BODALCHEM,25017,1,1.000000
PREMIERENE,25049,1,5.000000
BCLIND,2513,1,1.000000
INDOUS,25503,1,1.000000
APLAPOLLO,25780,1,10.000000
KANANIIND,25786,1,1.000000
DBEIL,25892,1,1.000000
IT,2627,1,1.000000
SWIGGY,27066,1,5.000000
KMEW,27084,1,10.000000
NTPCGREEN,27176,1,1.000000
AUBANK,21238,1,5.000000
MASTEK,2124,1,10.000000
BDL,2144,1,10.000000
NEXT50BETA,21478,1,1.000000
BRNL,21683,1,1.000000
NIFTYBETF,21959,1,1.000000
MODIRUBBER,2229,1,1.000000
NDRAUTO,22255,1,5.000000
PARKHOTELS,22649,1,1.000000
MOTOGENFIN,2268,1,1.000000
MRF,2277,1,500.000000
MRPL,2283,1,1.000000
MURUDCERA,2313,1,1.000000
MOREALTY,23184,1,1.000000
AQYLON,23365,1,1.000000
SRM,23402,1,5.000000
INDGN,23693,1,5.000000
NELCO,2388,1,5.000000
LIQUIDBETF,23915,1,1.000000
ESTER,24265,1,1.000000
DELPHIFX,24391,1,1.000000
